time,zipcode,num_cases,num_test,county,neighborhood,median_household_income,median_home_value,population,population_density
2020-03-31 04:00:00+00:00,10001,113,265,New York County,Chelsea and Clinton,81671.0,650200.0,21102.0,33959.0
2020-03-31 04:00:00+00:00,10002,250,542,New York County,Lower East Side,33218.0,535600.0,81410.0,92573.0
2020-03-31 04:00:00+00:00,10003,161,379,New York County,Lower East Side,92540.0,817700.0,56024.0,97188.0
2020-03-31 04:00:00+00:00,10004,16,38,New York County,Lower Manhattan,129313.0,894200.0,3089.0,5519.0
2020-03-31 04:00:00+00:00,10005,25,81,New York County,Lower Manhattan,124670.0,1000001.0,7135.0,97048.0
2020-03-31 04:00:00+00:00,10006,6,24,New York County,Lower Manhattan,119274.0,714300.0,3011.0,32796.0
2020-03-31 04:00:00+00:00,10007,26,67,New York County,Lower Manhattan,216037.0,1000001.0,6988.0,42751.0
2020-03-31 04:00:00+00:00,10009,181,450,New York County,Lower East Side,59929.0,672800.0,61347.0,99492.0
2020-03-31 04:00:00+00:00,10010,101,282,New York County,Gramercy Park and Murray Hill,97955.0,746200.0,31834.0,81487.0
2020-03-31 04:00:00+00:00,10011,222,487,New York County,Chelsea and Clinton,104238.0,914500.0,50984.0,77436.0
2020-03-31 04:00:00+00:00,10012,68,183,New York County,Greenwich Village and Soho,86594.0,1000001.0,24090.0,74517.0
2020-03-31 04:00:00+00:00,10013,122,255,New York County,Greenwich Village and Soho,83725.0,1000001.0,27700.0,50154.0
2020-03-31 04:00:00+00:00,10014,140,305,New York County,Greenwich Village and Soho,108483.0,947300.0,31959.0,56119.0
2020-03-31 04:00:00+00:00,10016,288,581,New York County,Gramercy Park and Murray Hill,105324.0,759600.0,54183.0,101814.0
2020-03-31 04:00:00+00:00,10017,45,138,New York County,Gramercy Park and Murray Hill,100652.0,637100.0,16575.0,51775.0
2020-03-31 04:00:00+00:00,10018,66,151,New York County,Chelsea and Clinton,104635.0,1000001.0,5229.0,16251.0
2020-03-31 04:00:00+00:00,10019,187,451,New York County,Chelsea and Clinton,84424.0,808600.0,42870.0,63042.0
2020-03-31 04:00:00+00:00,10021,211,562,New York County,Upper East Side,107907.0,1000001.0,43631.0,112711.0
2020-03-31 04:00:00+00:00,10022,123,339,New York County,Gramercy Park and Murray Hill,109019.0,866100.0,31924.0,73158.0
