location_id,zone,borough,centroid_x,centroid_y,zipcode,county,neighborhood,median_household_income,median_home_value,population,population_density
1,Newark Airport,EWR,-74.174270275862,40.69024330172404,07114,Essex County,,19639.0,253200.0,14748,1980.0
2,Jamaica Bay,Queens,-73.8298447614632,40.61112041531353,11693,Queens County,Rockaways,50570.0,323100.0,11916,11950.0
3,Allerton/Pelham Gardens,Bronx,-73.8465098633635,40.864294038404864,10469,Bronx County,Northeast Bronx,57776.0,427100.0,66631,26903.0
4,Alphabet City,Manhattan,-73.97520908904802,40.723853149707395,10009,New York County,Lower East Side,59929.0,672800.0,61347,99492.0
5,Arden Heights,Staten Island,-74.18980260697641,40.55667805421754,10312,Richmond County,South Shore,85324.0,467300.0,59304,7723.0
6,Arrochar/Fort Wadsworth,Staten Island,-74.07174675600425,40.60111748548471,10305,Richmond County,Stapleton and St. George,70758.0,415300.0,41749,9819.0
7,Astoria,Queens,-73.9193650454889,40.7614329365109,11103,Queens County,Northwest Queens,55129.0,648900.0,38780,54537.0
8,Astoria Park,Queens,-73.9233958241691,40.77807743974382,11102,Queens County,Northwest Queens,49924.0,597700.0,34133,42255.0
9,Auburndale,Queens,-73.79018835662427,40.750302438936394,11365,Queens County,Central Queens,55492.0,580300.0,42252,16923.0
24,Bloomingdale,Manhattan,-73.967739177612,40.80294679300085,10025,New York County,Upper West Side,68516.0,934600.0,94600,125860.0
10,Baisley Park,Queens,-73.79031743432475,40.677930756477615,11436,Queens County,Jamaica,62114.0,365500.0,17949,22783.0
11,Bath Beach,Brooklyn,-74.00902265466559,40.60269195902147,11214,Kings County,Southwest Brooklyn,43398.0,598800.0,88630,40566.0
12,Battery Park,Manhattan,-74.01547738338618,40.70209109378635,10004,New York County,Lower Manhattan,129313.0,894200.0,3089,5519.0
13,Battery Park City,Manhattan,-74.0173256030012,40.70941900773057,10280,New York County,Lower Manhattan,129574.0,685700.0,7853,56710.0
18,Bedford Park,Bronx,-73.88938681168743,40.8688767444921,10468,Bronx County,Bronx Park and Fordham,33776.0,171200.0,76103,70778.0
25,Boerum Hill,Brooklyn,-73.9859294600869,40.686587662101374,11217,Kings County,Northwest Brooklyn,81862.0,857000.0,35881,47796.0
14,Bay Ridge,Brooklyn,-74.0292460573035,40.62519597292938,11209,Kings County,Southwest Brooklyn,58261.0,625600.0,68853,31845.0
15,Bay Terrace/Fort Totten,Queens,-73.77860618505592,40.79099485971973,11360,Queens County,North Queens,76183.0,524000.0,18884,13251.0
22,Bensonhurst West,Brooklyn,-73.99579855752069,40.60880523078703,11204,Kings County,Borough Park,45472.0,657500.0,78134,49173.0
23,Bloomfield/Emerson Hill,Staten Island,-74.19051212465776,40.60462435297202,10311,Richmond County,,,,0,
16,Bayside,Queens,-73.76797232853133,40.76281126316479,11361,Queens County,Northeast Queens,75335.0,574200.0,28606,16269.0
17,Bedford,Brooklyn,-73.9503161777868,40.6923989522704,11206,Kings County,Bushwick and Williamsburg,28559.0,533400.0,81677,56939.0
19,Bellerose,Queens,-73.72886971018568,40.73468188788073,11426,Queens County,Southeast Queens,82301.0,460500.0,17590,13039.0
20,Belmont,Bronx,-73.88536610645447,40.85894073699993,10458,Bronx County,Bronx Park and Fordham,24618.0,330300.0,79492,78784.0
21,Bensonhurst East,Brooklyn,-73.99043980619615,40.596885770344926,11214,Kings County,Southwest Brooklyn,43398.0,598800.0,88630,40566.0
26,Borough Park,Brooklyn,-73.98795177269224,40.63073748249222,11219,Kings County,Borough Park,34316.0,726700.0,92221,62225.0
27,Breezy Point/Fort Tilden/Riis Beach,Queens,-73.89081930147171,40.56129837263246,11697,Queens County,Rockaways,87636.0,525600.0,4079,1838.0
28,Briarwood/Jamaica Hills,Queens,-73.80698408223755,40.71231350900487,11435,Queens County,Jamaica,53041.0,338100.0,53687,35447.0
33,Brooklyn Heights,Brooklyn,-73.99550145502987,40.69696427095926,11201,Kings County,Northwest Brooklyn,95369.0,669000.0,51128,35981.0
29,Brighton Beach,Brooklyn,-73.96050734707576,40.57993399288159,11235,Kings County,Southern Brooklyn,41639.0,531000.0,79132,35237.0
31,Bronx Park,Bronx,-73.87512407634516,40.86031038346422,10458,Bronx County,Bronx Park and Fordham,24618.0,330300.0,79492,78784.0
32,Bronxdale,Bronx,-73.86541526840392,40.862116079464556,10469,Bronx County,Northeast Bronx,57776.0,427100.0,66631,26903.0
30,Broad Channel,Queens,-73.82289586807934,40.602882041910725,11693,Queens County,Rockaways,50570.0,323100.0,11916,11950.0
34,Brooklyn Navy Yard,Brooklyn,-73.9782723436008,40.704714988707146,11205,Kings County,Northwest Brooklyn,44688.0,636900.0,40366,42508.0
35,Brownsville,Brooklyn,-73.91032893203258,40.663990621307086,11212,Kings County,Central Brooklyn,28348.0,391700.0,84500,54944.0
36,Bushwick North,Brooklyn,-73.91683429697895,40.69925991247543,11237,Kings County,Bushwick and Williamsburg,40372.0,464500.0,49896,50927.0
37,Bushwick South,Brooklyn,-73.92392072772931,40.69546427339086,11237,Kings County,Bushwick and Williamsburg,40372.0,464500.0,49896,50927.0
38,Cambria Heights,Queens,-73.73553021222955,40.695104353263055,11411,Queens County,Southeast Queens,83099.0,387900.0,18556,15875.0
39,Canarsie,Brooklyn,-73.89010903864794,40.64458394957818,11236,Kings County,Canarsie and Flatlands,61061.0,478700.0,93877,26112.0
40,Carroll Gardens,Brooklyn,-73.99662564459295,40.67789943259295,11231,Kings County,Northwest Brooklyn,78174.0,912000.0,33336,23441.0
41,Central Harlem,Manhattan,-73.95057322060859,40.80335612940569,10026,New York County,Central Harlem,43107.0,602400.0,34003,102315.0
45,Chinatown,Manhattan,-73.9980492213935,40.71156838061706,10038,New York County,Lower Manhattan,66074.0,616300.0,20300,68214.0
46,City Island,Bronx,-73.78291517371082,40.851329485061214,10464,Bronx County,Southeast Bronx,70078.0,484000.0,4534,1295.0
42,Central Harlem North,Manhattan,-73.9370746563841,40.826384446033764,10039,New York County,Central Harlem,33595.0,352300.0,24527,52965.0
43,Central Park,Manhattan,-73.96649770875561,40.7815070348396,10162,New York County,,168667.0,,1685,148228.0
44,Charleston/Tottenville,Staten Island,-74.23734818312747,40.529939284356956,10309,Richmond County,South Shore,86297.0,539100.0,32519,4840.0
47,Claremont/Bathgate,Bronx,-73.90047161694586,40.84321380141885,10457,Bronx County,Central Bronx,24949.0,397500.0,70496,66425.0
48,Clinton East,Manhattan,-73.99074395346146,40.76139808919221,10018,New York County,Chelsea and Clinton,104635.0,1000001.0,5229,16251.0
49,Clinton Hill,Brooklyn,-73.96138225466316,40.69025446809173,11238,Kings County,Central Brooklyn,65315.0,656800.0,49262,44555.0
50,Clinton West,Manhattan,-73.99747392973036,40.76783757642027,10019,New York County,Chelsea and Clinton,84424.0,808600.0,42870,63042.0
51,Co-Op City,Bronx,-73.83037051104496,40.87553226434225,10475,Bronx County,Northeast Bronx,43629.0,76000.0,40931,23753.0
52,Cobble Hill,Brooklyn,-73.99623989621612,40.68651995745938,11231,Kings County,Northwest Brooklyn,78174.0,912000.0,33336,23441.0
53,College Point,Queens,-73.85964420403228,40.7851125024082,11356,Queens County,North Queens,58465.0,562900.0,23438,14915.0
54,Columbia Street,Brooklyn,-74.00498561531474,40.68863277624171,11231,Kings County,Northwest Brooklyn,78174.0,912000.0,33336,23441.0
55,Coney Island,Brooklyn,-73.98796813993853,40.57539051485908,11224,Kings County,Southern Brooklyn,27481.0,317800.0,47621,30841.0
56,Corona,Queens,-73.85660822876817,40.74079142991454,11368,Queens County,West Queens,45964.0,480900.0,109931,41768.0
58,Country Club,Bronx,-73.81521471028854,40.84398817490871,10465,Bronx County,Southeast Bronx,65450.0,437800.0,42230,12313.0
59,Crotona Park,Bronx,-73.89505101724278,40.837955176214194,10459,Bronx County,Hunts Point and Mott Haven,24461.0,343900.0,47308,57907.0
60,Crotona Park East,Bronx,-73.88343061378565,40.83526766081114,10460,Bronx County,Central Bronx,22307.0,391700.0,57311,43567.0
61,Crown Heights North,Brooklyn,-73.93557955031052,40.675122779212025,11213,Kings County,Central Brooklyn,34794.0,582300.0,63767,58448.0
62,Crown Heights South,Brooklyn,-73.9463289500483,40.66621642791928,11213,Kings County,Central Brooklyn,34794.0,582300.0,63767,58448.0
63,Cypress Hills,Brooklyn,-73.88457263684566,40.68095094960098,11208,Kings County,East New York and New Lots,35079.0,441100.0,94469,27333.0
64,Douglaston,Queens,-73.74863380292759,40.762635629043594,11362,Queens County,Northeast Queens,82332.0,538000.0,17823,7081.0
65,Downtown Brooklyn/MetroTech,Brooklyn,-73.98523801364169,40.69587050154471,11201,Kings County,Northwest Brooklyn,95369.0,669000.0,51128,35981.0
72,East Flatbush/Remsen Village,Brooklyn,-73.92148188772553,40.652594021955636,11203,Kings County,Flatbush,48400.0,426100.0,76174,35502.0
66,DUMBO/Vinegar Hill,Brooklyn,-73.98768663646355,40.703132732532914,11201,Kings County,Northwest Brooklyn,95369.0,669000.0,51128,35981.0
67,Dyker Heights,Brooklyn,-74.01504208243958,40.61743321146543,11228,Kings County,Southwest Brooklyn,61893.0,681700.0,41788,28428.0
68,East Chelsea,Manhattan,-74.00055338001444,40.748250554159334,10199,New York County,,,,9,349.0
73,East Flushing,Queens,-73.80716879030098,40.75294515008594,11358,Queens County,North Queens,65722.0,625200.0,37546,19260.0
69,East Concourse/Concourse Village,Bronx,-73.91513134072308,40.83058287371743,10456,Bronx County,High Bridge and Morrisania,23452.0,388600.0,86547,84979.0
70,East Elmhurst,Queens,-73.86587099635447,40.7632734396999,11369,Queens County,West Queens,53617.0,464500.0,38615,36170.0
71,East Flatbush/Farragut,Brooklyn,-73.93595734017637,40.64276010509795,11203,Kings County,Flatbush,48400.0,426100.0,76174,35502.0
79,East Village,Manhattan,-73.98648683022024,40.72675919871179,10003,New York County,Lower East Side,92540.0,817700.0,56024,97188.0
80,East Williamsburg,Brooklyn,-73.93082203589742,40.71505083727548,11211,Kings County,Greenpoint,46848.0,655500.0,90117,39209.0
74,East Harlem North,Manhattan,-73.92851721501464,40.80078006704602,10035,New York County,East Harlem,24533.0,445900.0,33969,24329.0
85,Erasmus,Brooklyn,-73.9518879948301,40.64579709637726,11226,Kings County,Flatbush,40734.0,480500.0,101572,78775.0
86,Far Rockaway,Queens,-73.75755779860958,40.60271690157603,11691,Queens County,Rockaways,39409.0,448200.0,60035,21185.0
75,East Harlem South,Manhattan,-73.94187928469458,40.78825569068814,10029,New York County,East Harlem,31888.0,787000.0,76003,92116.0
76,East New York,Brooklyn,-73.8755373169671,40.65481957240651,11239,Kings County,Canarsie and Flatlands,26275.0,354600.0,13393,23470.0
77,East New York/Pennsylvania Avenue,Brooklyn,-73.8948845429896,40.667111266082394,11207,Kings County,East New York and New Lots,32945.0,403800.0,93386,34965.0
78,East Tremont,Bronx,-73.88120190706479,40.843782843908016,10460,Bronx County,Central Bronx,22307.0,391700.0,57311,43567.0
81,Eastchester,Bronx,-73.83102438063446,40.88165589514084,10466,Bronx County,Northeast Bronx,44012.0,391300.0,67813,33601.0
87,Financial District North,Manhattan,-74.00555030731742,40.704632069846596,10005,New York County,Lower Manhattan,124670.0,1000001.0,7135,97048.0
82,Elmhurst,Queens,-73.87952011564641,40.737206099073184,11373,Queens County,West Queens,47667.0,499600.0,100820,66007.0
83,Elmhurst/Maspeth,Queens,-73.89288058490206,40.737891311667994,11373,Queens County,West Queens,47667.0,499600.0,100820,66007.0
