zipcode,neighborhood,county,median_household_income,median_home_value,population,population_density
10453,Central Bronx,Bronx County,25470.0,445200.0,78309.0,85491.0
10457,Central Bronx,Bronx County,24949.0,397500.0,70496.0,66425.0
10460,Central Bronx,Bronx County,22307.0,391700.0,57311.0,43567.0
10458,Bronx Park and Fordham,Bronx County,24618.0,330300.0,79492.0,78784.0
10467,Bronx Park and Fordham,Bronx County,36048.0,369500.0,97060.0,41649.0
10468,Bronx Park and Fordham,Bronx County,33776.0,171200.0,76103.0,70778.0
10451,High Bridge and Morrisania,Bronx County,26754.0,170600.0,45713.0,45043.0
10452,High Bridge and Morrisania,Bronx County,25979.0,402800.0,75371.0,76548.0
10456,High Bridge and Morrisania,Bronx County,23452.0,388600.0,86547.0,84979.0
10454,Hunts Point and Mott Haven,Bronx County,20232.0,386000.0,37337.0,35820.0
10455,Hunts Point and Mott Haven,Bronx County,22609.0,318600.0,39665.0,55696.0
10459,Hunts Point and Mott Haven,Bronx County,24461.0,343900.0,47308.0,57907.0
10474,Hunts Point and Mott Haven,Bronx County,25676.0,351800.0,12281.0,8010.0
10463,Kingsbridge and Riverdale,Bronx County,54258.0,289700.0,67970.0,47002.0
10471,Kingsbridge and Riverdale,Bronx County,71798.0,360800.0,22922.0,8878.0
10466,Northeast Bronx,Bronx County,44012.0,391300.0,67813.0,33601.0
10469,Northeast Bronx,Bronx County,57776.0,427100.0,66631.0,26903.0
10470,Northeast Bronx,Bronx County,58600.0,401200.0,15293.0,10734.0
10475,Northeast Bronx,Bronx County,43629.0,76000.0,40931.0,23753.0
10461,Southeast Bronx,Bronx County,52347.0,454700.0,50502.0,21045.0
10462,Southeast Bronx,Bronx County,45864.0,271300.0,75784.0,51207.0
10464,Southeast Bronx,Bronx County,70078.0,484000.0,4534.0,1295.0
10465,Southeast Bronx,Bronx County,65450.0,437800.0,42230.0,12313.0
10472,Southeast Bronx,Bronx County,30288.0,429600.0,66358.0,63167.0
10473,Southeast Bronx,Bronx County,35866.0,386600.0,58519.0,26846.0
11212,Central Brooklyn,Kings County,28348.0,391700.0,84500.0,54944.0
11213,Central Brooklyn,Kings County,34794.0,582300.0,63767.0,58448.0
11216,Central Brooklyn,Kings County,43996.0,623300.0,54316.0,58065.0
11233,Central Brooklyn,Kings County,34492.0,551900.0,67053.0,49746.0
11238,Central Brooklyn,Kings County,65315.0,656800.0,49262.0,44555.0
11209,Southwest Brooklyn,Kings County,58261.0,625600.0,68853.0,31845.0
11214,Southwest Brooklyn,Kings County,43398.0,598800.0,88630.0,40566.0
11228,Southwest Brooklyn,Kings County,61893.0,681700.0,41788.0,28428.0
11204,Borough Park,Kings County,45472.0,657500.0,78134.0,49173.0
11218,Borough Park,Kings County,52445.0,546300.0,75220.0,52664.0
11219,Borough Park,Kings County,34316.0,726700.0,92221.0,62225.0
11230,Borough Park,Kings County,42170.0,598000.0,86408.0,46966.0
11234,Canarsie and Flatlands,Kings County,68431.0,488200.0,87757.0,11627.0
11236,Canarsie and Flatlands,Kings County,61061.0,478700.0,93877.0,26112.0
11239,Canarsie and Flatlands,Kings County,26275.0,354600.0,13393.0,23470.0
11223,Southern Brooklyn,Kings County,41328.0,613000.0,78731.0,37956.0
11224,Southern Brooklyn,Kings County,27481.0,317800.0,47621.0,30841.0
11229,Southern Brooklyn,Kings County,51725.0,524100.0,80018.0,36934.0
11235,Southern Brooklyn,Kings County,41639.0,531000.0,79132.0,35237.0
11201,Northwest Brooklyn,Kings County,95369.0,669000.0,51128.0,35981.0
11205,Northwest Brooklyn,Kings County,44688.0,636900.0,40366.0,42508.0
11215,Northwest Brooklyn,Kings County,95654.0,913200.0,63488.0,29148.0
11217,Northwest Brooklyn,Kings County,81862.0,857000.0,35881.0,47796.0
11231,Northwest Brooklyn,Kings County,78174.0,912000.0,33336.0,23441.0
11203,Flatbush,Kings County,48400.0,426100.0,76174.0,35502.0
11210,Flatbush,Kings County,55429.0,485500.0,62008.0,37785.0
11225,Flatbush,Kings County,42922.0,615700.0,56829.0,64295.0
11226,Flatbush,Kings County,40734.0,480500.0,101572.0,78775.0
11207,East New York and New Lots,Kings County,32945.0,403800.0,93386.0,34965.0
11208,East New York and New Lots,Kings County,35079.0,441100.0,94469.0,27333.0
11211,Greenpoint,Kings County,46848.0,655500.0,90117.0,39209.0
11222,Greenpoint,Kings County,63739.0,726500.0,36934.0,24232.0
11220,Sunset Park,Kings County,37580.0,615300.0,99598.0,55603.0
11232,Sunset Park,Kings County,43595.0,582900.0,28265.0,22028.0
11206,Bushwick and Williamsburg,Kings County,28559.0,533400.0,81677.0,56939.0
